Target,R² Score,MAE,RMSE,RandomState,Model
W. FLY(ABOVE ETL),0.8204602843839871,3.9731275720164607,7.086681024456147,0,BaggingRegressor
JASSID(ABOVE ETL),0.6249503167969451,3.239372427983539,5.53715342067702,0,BaggingRegressor
THRIPS(ABOVE ETL),0.5931384647893181,1.4504183813443072,3.2183714751391,0,BaggingRegressor
M.BUG(ABOVE ETL),0.8512885353046212,2.568196159122085,5.081857486628614,0,BaggingRegressor
MITES(ABOVE ETL),-0.3335938972180439,0.019513031550068585,0.19481446275140699,0,BaggingRegressor
APHIDS(ABOVE ETL),-0.09669139216928269,0.02675925925925926,0.32586641923101206,0,BaggingRegressor
DUSKY COTTON BUG(ABOVE ETL),0.4597129809563878,0.8842318244170096,3.6222256968096644,0,BaggingRegressor
W. FLY(BELOW ETL),0.826614065855598,9.692379972565158,14.245746057227867,0,BaggingRegressor
JASSID(BELOW ETL),0.8329031427670545,9.706378600823045,14.918530559228655,0,BaggingRegressor
THRIPS(BELOW ETL),0.7473773007261849,12.486759259259259,19.021570757456725,0,BaggingRegressor
MITES(BELOW ETL),0.25832964045914897,1.81829561042524,5.200427784582839,0,BaggingRegressor
APHIDS(BELOW ETL),0.5569154120069968,1.1111522633744855,4.972612854508487,0,BaggingRegressor
DUSKY COTTON BUG(BELOW ETL),0.7919249983217933,8.32317901234568,13.171772543625824,0,BaggingRegressor
SBW(ABOVE ETL),0.18221154603807166,0.04259259259259259,0.27230409451615056,0,BaggingRegressor
PBW(ABOVE ETL),0.8044272549350221,1.7103600823045266,3.692677508403619,0,BaggingRegressor
ABW(ABOVE ETL),-0.4837563602379431,0.037688614540466396,0.2760874496158616,0,BaggingRegressor
Army Worm(ABOVE ETL),0.49994908285325346,1.319307270233196,2.708295909839575,0,BaggingRegressor
SBW(BELOW ETL),0.43228520845874563,0.22875171467764058,1.0114522555686574,0,BaggingRegressor
PBW(BELOW ETL),0.7855942056969031,5.253257887517147,8.619191891439362,0,BaggingRegressor
