Target,R² Score,MAE,RMSE,RandomState,Model
W. FLY(ABOVE ETL),0.7185935007960904,5.012318244170096,8.872166442305542,0,KNN
JASSID(ABOVE ETL),0.48216436967993526,3.8663065843621403,6.506360460374849,0,KNN
THRIPS(ABOVE ETL),0.536196778739657,1.5033539094650206,3.4362102892959525,0,KNN
M.BUG(ABOVE ETL),0.7028174122119076,3.531385459533608,7.183927424279243,0,KNN
MITES(ABOVE ETL),-0.2255037439873051,0.017146776406035666,0.18675262571079568,0,KNN
APHIDS(ABOVE ETL),-0.12404077280358328,0.027205075445816185,0.3299046397530502,0,KNN
DUSKY COTTON BUG(ABOVE ETL),0.16802249896096355,1.0934567901234569,4.4948896222320505,0,KNN
W. FLY(BELOW ETL),0.7396997535763108,12.184101508916322,17.454827320154333,0,KNN
JASSID(BELOW ETL),0.7401516540779255,12.458936899862827,18.60380958302282,0,KNN
THRIPS(BELOW ETL),0.5941475946274359,16.383000685871057,24.109835854794415,0,KNN
MITES(BELOW ETL),0.12319374612340384,2.093762002743484,5.654385678440116,0,KNN
APHIDS(BELOW ETL),0.4395716525502046,1.2954115226337448,5.59244051792257,0,KNN
DUSKY COTTON BUG(BELOW ETL),0.5449556011939233,12.921018518518519,19.4787532248547,0,KNN
SBW(ABOVE ETL),-0.1826578099590941,0.04070644718792867,0.32746375415924406,0,KNN
PBW(ABOVE ETL),0.663259492122904,2.2202366255144037,4.845458704986391,0,KNN
ABW(ABOVE ETL),-0.2925041907107149,0.030315500685871053,0.257680377512011,0,KNN
Army Worm(ABOVE ETL),0.1855021691408536,1.6293415637860083,3.456479343393094,0,KNN
SBW(BELOW ETL),-0.006942751395635494,0.28519890260631003,1.3470467621518818,0,KNN
PBW(BELOW ETL),0.6025802995370689,7.313868312757203,11.734726891851274,0,KNN
ABW(BELOW ETL),0.12003783585475125,0.6136968449931413,2.1559423256166803,0,KNN
CLCV(%SPOT),0.556745577964178,4.603384773662551,9.96895663543467,0,KNN
CLCV(%AREA),0.5294963246005253,4.985075445816187,10.802242781402741,0,KNN
WILT(%SPOT),0.1665290045255461,0.4736282578875171,2.2326550010938693,0,KNN
WILT(%AREA),0.12215975708927007,0.4533641975308642,2.210343676919049,0,KNN
W. FLY(ABOVE ETL),0.7138205498477992,4.846388888888889,8.496881048445973,21,KNN
JASSID(ABOVE ETL),0.46959908690490604,3.9524417009602195,6.644618752616803,21,KNN
THRIPS(ABOVE ETL),0.5106660445823381,1.563672839506173,3.5234606081329294,21,KNN
M.BUG(ABOVE ETL),0.683206489470775,3.4774348422496573,7.1062005904193075,21,KNN
MITES(ABOVE ETL),-0.023672582502925144,0.014094650205761314,0.20067615470507544,21,KNN
APHIDS(ABOVE ETL),-0.1669096266028265,0.027572016460905353,0.3292028031422391,21,KNN
DUSKY COTTON BUG(ABOVE ETL),0.21335791459781805,1.0033470507544582,3.978577631838439,21,KNN
W. FLY(BELOW ETL),0.7553296826005709,11.923161865569273,17.104585762748723,21,KNN
JASSID(BELOW ETL),0.7639715158127842,12.154163237311389,17.78449777120335,21,KNN
THRIPS(BELOW ETL),0.6458005849375275,15.451299725651578,22.510302859090014,21,KNN
MITES(BELOW ETL),0.09981617423706246,2.0661111111111112,5.654665972143339,21,KNN
APHIDS(BELOW ETL),0.4467549594318436,1.141375171467764,5.0173610698876505,21,KNN
DUSKY COTTON BUG(BELOW ETL),0.5547572246601518,13.184444444444443,19.776394432478615,21,KNN
SBW(ABOVE ETL),0.1355802097410913,0.04482167352537723,0.39468780529531694,21,KNN
PBW(ABOVE ETL),0.658287834912983,2.1231515775034295,4.69176364027872,21,KNN
ABW(ABOVE ETL),-0.051434323922835645,0.032578875171467764,0.3615429516647934,21,KNN
Army Worm(ABOVE ETL),0.21167926259852332,1.5511728395061726,3.3289476704497165,21,KNN
SBW(BELOW ETL),0.02819534348759367,0.270778463648834,1.4176132518996818,21,KNN
PBW(BELOW ETL),0.5832230328434073,7.419338134430728,11.90907579320433,21,KNN
ABW(BELOW ETL),0.24040224991100623,0.5468964334705075,1.9928627536116255,21,KNN
CLCV(%SPOT),0.5945429903520418,4.564437585733883,10.0715725516203,21,KNN
CLCV(%AREA),0.5377542037109229,5.016642661179699,11.37680695637549,21,KNN
WILT(%SPOT),0.13891668272573976,0.412846364883402,2.109701657504271,21,KNN
WILT(%AREA),0.09634373937616392,0.4014883401920438,2.176046946989124,21,KNN
W. FLY(ABOVE ETL),0.7101411280019883,4.839228395061728,8.8087819360869,42,KNN
JASSID(ABOVE ETL),0.4611429609795916,3.8447325102880665,6.6958629714760916,42,KNN
THRIPS(ABOVE ETL),0.5112304174942487,1.534389574759945,3.51140903564906,42,KNN
M.BUG(ABOVE ETL),0.6677250405054914,3.5075240054869687,7.37068907741973,42,KNN
MITES(ABOVE ETL),-0.23235365494479798,0.015569272976680384,0.17181353340360297,42,KNN
APHIDS(ABOVE ETL),-0.392650014100707,0.03186899862825789,0.306921134805666,42,KNN
DUSKY COTTON BUG(ABOVE ETL),0.21323355882841954,1.1021227709190673,3.9558380179006716,42,KNN
W. FLY(BELOW ETL),0.7397535105972965,12.34755829903978,17.680147007780654,42,KNN
JASSID(BELOW ETL),0.7553316664771439,12.384279835390945,18.190620063621797,42,KNN
THRIPS(BELOW ETL),0.592439343386008,16.78721879286694,24.120486640083737,42,KNN
MITES(BELOW ETL),0.05340558253316963,2.1356378600823045,5.589283955062178,42,KNN
APHIDS(BELOW ETL),0.4640906848903248,1.1877229080932785,4.848796295412222,42,KNN
DUSKY COTTON BUG(BELOW ETL),0.5272731473526248,13.46693072702332,20.268691037791747,42,KNN
SBW(ABOVE ETL),-0.0770185603877318,0.04094650205761317,0.3996311742667433,42,KNN
PBW(ABOVE ETL),0.6903920034350052,2.0957030178326472,4.5823643382722645,42,KNN
ABW(ABOVE ETL),-0.015104099786718672,0.03611111111111111,0.40669550595980436,42,KNN
Army Worm(ABOVE ETL),0.2738103107694213,1.4941289437585732,3.0286621881956,42,KNN
SBW(BELOW ETL),-0.016949575959579244,0.316556927297668,1.667873164132205,42,KNN
PBW(BELOW ETL),0.6135011484805519,7.24210219478738,11.656638469329996,42,KNN
