Target,R² Score,MAE,RMSE,RandomState,Model
W. FLY(ABOVE ETL),-0.2589329668439382,11.22212620027435,18.765663396275976,0,SVM
JASSID(ABOVE ETL),-0.20746977429412894,6.207486282578876,9.935284081866003,0,SVM
THRIPS(ABOVE ETL),-0.13273057165906743,1.9902126200274348,5.3700232327142,0,SVM
M.BUG(ABOVE ETL),-0.23254759293198002,6.472969821673526,14.630262051497002,0,SVM
MITES(ABOVE ETL),-0.2888877134403358,0.10857338820301782,0.19152123664959847,0,SVM
APHIDS(ABOVE ETL),-0.07294751133888266,0.1152023319615912,0.32231953617787495,0,SVM
DUSKY COTTON BUG(ABOVE ETL),-0.02730090106401195,0.9964746227709191,4.9947306733510795,0,SVM
W. FLY(BELOW ETL),-0.12951768491086924,28.9840329218107,36.3600761936678,0,SVM
JASSID(BELOW ETL),-0.1863689820080634,31.025109739369,39.751342376243166,0,SVM
THRIPS(BELOW ETL),-0.20547126250048597,33.13144375857339,41.551683310130166,0,SVM
MITES(BELOW ETL),-0.05250955816666458,1.5615123456790125,6.195075915884044,0,SVM
APHIDS(BELOW ETL),-0.027504953483348027,1.4255555555555557,7.572395494516727,0,SVM
DUSKY COTTON BUG(BELOW ETL),-0.21406519196203777,21.771608367626886,31.81671025537717,0,SVM
SBW(ABOVE ETL),-0.06843520654752155,0.11992455418381343,0.31124886720889494,0,SVM
PBW(ABOVE ETL),-0.179580532496445,3.678055555555556,9.068824836566408,0,SVM
ABW(ABOVE ETL),-0.14537686727685428,0.11262002743484224,0.24257138725528204,0,SVM
Army Worm(ABOVE ETL),-0.1361542219734102,1.565329218106996,4.082325625215126,0,SVM
SBW(BELOW ETL),-0.00472036082089855,0.28591906721536353,1.3455594295037565,0,SVM
PBW(BELOW ETL),-0.2635836008854442,13.558141289437584,20.924268347985098,0,SVM
ABW(BELOW ETL),-0.02425953948591153,0.5445267489711935,2.3260023430475782,0,SVM
CLCV(%SPOT),-0.20134550179165078,6.85326817558299,16.411834607747057,0,SVM
CLCV(%AREA),-0.19441681093071916,7.078333333333333,17.211169328580336,0,SVM
WILT(%SPOT),-0.01270417900902232,0.4647393689986283,2.461034346544088,0,SVM
WILT(%AREA),-0.008771696919277483,0.4100445816186557,2.369455226988333,0,SVM
W. FLY(ABOVE ETL),-0.25103856862286644,10.554420438957475,17.76542761316101,21,SVM
JASSID(ABOVE ETL),-0.2298628465314534,6.233744855967077,10.118037320454347,21,SVM
THRIPS(ABOVE ETL),-0.14345865918198775,2.060120027434842,5.386131816666025,21,SVM
M.BUG(ABOVE ETL),-0.2288144756139121,6.158292181069959,13.995630995723271,21,SVM
MITES(ABOVE ETL),-0.2088280423714608,0.1087448559670782,0.21807079053486123,21,SVM
APHIDS(ABOVE ETL),-0.07939694338503345,0.11344307270233195,0.31661792997277793,21,SVM
DUSKY COTTON BUG(ABOVE ETL),-0.028365036365825658,0.937249657064472,4.548968182196238,21,SVM
W. FLY(BELOW ETL),-0.09008294430530439,29.211200274348418,36.10369823534511,21,SVM
JASSID(BELOW ETL),-0.15402100199409063,30.85639231824417,39.32477559394845,21,SVM
THRIPS(BELOW ETL),-0.15797261418809172,32.657575445816185,40.70113897111423,21,SVM
MITES(BELOW ETL),-0.053255069231913144,1.5530864197530867,6.116572559574783,21,SVM
APHIDS(BELOW ETL),-0.023364555839915147,1.2194272976680385,6.823886215314632,21,SVM
DUSKY COTTON BUG(BELOW ETL),-0.24175454248894934,22.637064471879285,33.026804328966094,21,SVM
SBW(ABOVE ETL),-0.023583403373394596,0.13295610425240054,0.42948991981285256,21,SVM
PBW(ABOVE ETL),-0.17599088264118423,3.5088991769547326,8.70377954852691,21,SVM
ABW(ABOVE ETL),-0.05126881322015042,0.11893004115226335,0.36151449454593637,21,SVM
Army Worm(ABOVE ETL),-0.12398460119028476,1.4751371742112482,3.9749866405897443,21,SVM
SBW(BELOW ETL),-0.005739783308763569,0.30181412894375853,1.44215218162023,21,SVM
PBW(BELOW ETL),-0.25026179184194763,13.224159807956102,20.626554274893905,21,SVM
ABW(BELOW ETL),-0.018112466034228447,0.49525034293552805,2.3071903842413617,21,SVM
CLCV(%SPOT),-0.20000410886437825,7.20679012345679,17.326715545796276,21,SVM
CLCV(%AREA),-0.18793979485767465,7.3872530864197525,18.238164112997232,21,SVM
WILT(%SPOT),-0.009114925707092825,0.4073868312757202,2.2838562826697872,21,SVM
WILT(%AREA),-0.0061211351202778985,0.36942386831275714,2.296105114502599,21,SVM
W. FLY(ABOVE ETL),-0.2212099100279341,10.701478052126202,18.080803239399874,42,SVM
JASSID(ABOVE ETL),-0.20528312470025112,6.197935528120714,10.014155139351839,42,SVM
