Target,R² Score,MAE,RMSE,RandomState,Model
W. FLY(ABOVE ETL),0.779595852774894,5.650013717421125,7.851859141331347,0,VotingRegressor
JASSID(ABOVE ETL),0.6019799812234652,3.7104561042524007,5.7041982800243405,0,VotingRegressor
THRIPS(ABOVE ETL),0.5650198912895021,1.97639231824417,3.327725942010597,0,VotingRegressor
M.BUG(ABOVE ETL),0.8257630996615215,3.071008230452675,5.500729949067229,0,VotingRegressor
MITES(ABOVE ETL),-1.2196439492867412,0.09814814814814816,0.2513338900344229,0,VotingRegressor
APHIDS(ABOVE ETL),-0.32221575907807876,0.06914609053497943,0.35780677169536107,0,VotingRegressor
DUSKY COTTON BUG(ABOVE ETL),0.4607110439689448,1.1807681755829904,3.618878512363022,0,VotingRegressor
W. FLY(BELOW ETL),0.7626525157336559,13.668443072702333,16.667504594162665,0,VotingRegressor
JASSID(BELOW ETL),0.7656754888565804,14.867572016460905,17.666510147610094,0,VotingRegressor
THRIPS(BELOW ETL),0.6956077995375207,17.372342249657063,20.879829672196028,0,VotingRegressor
MITES(BELOW ETL),0.2475317015127897,2.286814128943759,5.238147365795349,0,VotingRegressor
APHIDS(BELOW ETL),0.541888314027493,1.3317626886145404,5.056232216281774,0,VotingRegressor
DUSKY COTTON BUG(BELOW ETL),0.7372350745960574,11.5044341563786,14.80191704880202,0,VotingRegressor
SBW(ABOVE ETL),0.10815596409109851,0.051646090534979434,0.2843663087126606,0,VotingRegressor
PBW(ABOVE ETL),0.7785893169510376,2.002609739368999,3.929040461819817,0,VotingRegressor
ABW(ABOVE ETL),-0.9742030232454646,0.07880658436213993,0.3184646810659225,0,VotingRegressor
Army Worm(ABOVE ETL),0.44198924995508926,1.6822016460905351,2.860950097351159,0,VotingRegressor
SBW(BELOW ETL),0.3905207080706876,0.2874622770919067,1.0479963245623987,0,VotingRegressor
PBW(BELOW ETL),0.7587901063372355,6.116529492455419,9.142097511708144,0,VotingRegressor
ABW(BELOW ETL),0.023748432975367217,1.5952537722908093,2.2708372578967104,0,VotingRegressor
CLCV(%SPOT),0.7810214423151072,3.654612482853223,7.006868448363712,0,VotingRegressor
CLCV(%AREA),0.6783116721585503,5.111035665294925,8.932027989515426,0,VotingRegressor
WILT(%SPOT),0.3559052230836053,0.5960150891632373,1.9626879786427889,0,VotingRegressor
WILT(%AREA),0.29622819962697344,0.6134396433470507,1.9791011576769502,0,VotingRegressor
W. FLY(ABOVE ETL),0.7778958453457097,4.976512345679012,7.4854628134963,21,VotingRegressor
JASSID(ABOVE ETL),0.5991630495379733,3.6477640603566535,5.776327530478946,21,VotingRegressor
THRIPS(ABOVE ETL),0.5498263234997391,2.10627914951989,3.3795337835216763,21,VotingRegressor
M.BUG(ABOVE ETL),0.8245301804935328,3.155925925925926,5.288719561040845,21,VotingRegressor
MITES(ABOVE ETL),-0.10143090180741354,0.02163923182441701,0.20815836273869018,21,VotingRegressor
APHIDS(ABOVE ETL),-0.08755740878213558,0.0362482853223594,0.31781252507947777,21,VotingRegressor
DUSKY COTTON BUG(ABOVE ETL),0.592174597909848,1.0934567901234569,2.8646817704747827,21,VotingRegressor
W. FLY(BELOW ETL),0.7589259024301669,14.144972565157753,16.978416890966507,21,VotingRegressor
JASSID(BELOW ETL),0.777543437337951,14.632297668038408,17.26561322596412,21,VotingRegressor
THRIPS(BELOW ETL),0.7031127228530076,17.46484567901235,20.608824061159176,21,VotingRegressor
MITES(BELOW ETL),0.2852406889546474,2.4530384087791495,5.038732047322897,21,VotingRegressor
APHIDS(BELOW ETL),0.5472737566829144,1.2368484224965706,4.538730813845286,21,VotingRegressor
DUSKY COTTON BUG(BELOW ETL),0.7274094232996615,12.34377914951989,15.474053496697486,21,VotingRegressor
SBW(ABOVE ETL),0.3412331469635024,0.06001371742112483,0.34455394515928645,21,VotingRegressor
PBW(ABOVE ETL),0.7828915064655664,1.982767489711934,3.739764994670589,21,VotingRegressor
ABW(ABOVE ETL),-0.016566735890553463,0.0467764060356653,0.3554976804749157,21,VotingRegressor
Army Worm(ABOVE ETL),0.43486365717846454,1.7025034293552812,2.818591326260669,21,VotingRegressor
SBW(BELOW ETL),0.4392688780488134,0.2955727023319616,1.0768261835735744,21,VotingRegressor
PBW(BELOW ETL),0.7408369672737183,6.241738683127572,9.39101925388752,21,VotingRegressor
ABW(BELOW ETL),0.3206976943898965,1.0186042524005487,1.8845909435979358,21,VotingRegressor
CLCV(%SPOT),0.7927425805075039,3.6071124828532235,7.200786298704879,21,VotingRegressor
CLCV(%AREA),0.726990878073919,4.170531550068588,8.743241671795015,21,VotingRegressor
WILT(%SPOT),0.23547165912307455,0.8192181069958848,1.9879032836183397,21,VotingRegressor
WILT(%AREA),0.23035016212867576,0.4829286694101509,2.008228938768572,21,VotingRegressor
W. FLY(ABOVE ETL),0.7791271650083776,4.629495884773663,7.689422301396776,42,VotingRegressor
JASSID(ABOVE ETL),0.5795420893996519,3.811906721536351,5.91467711289418,42,VotingRegressor
THRIPS(ABOVE ETL),0.5546750760673071,2.002750342935528,3.351720828214675,42,VotingRegressor
M.BUG(ABOVE ETL),0.8053857446234984,3.3047050754458165,5.640876728012322,42,VotingRegressor
MITES(ABOVE ETL),-0.3576219458459018,0.030006858710562415,0.1803346226648872,42,VotingRegressor
APHIDS(ABOVE ETL),-0.15221425470630878,0.030565843621399174,0.279172363433061,42,VotingRegressor
DUSKY COTTON BUG(ABOVE ETL),0.5168893379378716,1.1865740740740742,3.0998372838839345,42,VotingRegressor
W. FLY(BELOW ETL),0.7887689420136434,12.562942386831274,15.92840607733897,42,VotingRegressor
JASSID(BELOW ETL),0.8147351320312425,12.433539094650206,15.829061147697873,42,VotingRegressor
THRIPS(BELOW ETL),0.7032665732616237,16.442424554183813,20.58131762093276,42,VotingRegressor
MITES(BELOW ETL),0.33266626646183617,2.240850480109739,4.6929480192210855,42,VotingRegressor
APHIDS(BELOW ETL),0.5387855867430533,1.312962962962963,4.498209947275338,42,VotingRegressor
DUSKY COTTON BUG(BELOW ETL),0.7352118168931817,11.392451989026062,15.169451095420401,42,VotingRegressor
SBW(ABOVE ETL),0.3751349692266238,0.04989711934156379,0.3043973560051656,42,VotingRegressor
PBW(ABOVE ETL),0.7878707555060525,1.9255384087791494,3.7930084000576767,42,VotingRegressor
ABW(ABOVE ETL),-0.3000134775481753,0.21330589849108367,0.4602438668897199,42,VotingRegressor
Army Worm(ABOVE ETL),0.46125694545795104,1.5763031550068587,2.608654951969734,42,VotingRegressor
SBW(BELOW ETL),0.42195868093227307,0.30781207133058985,1.257455870990991,42,VotingRegressor
PBW(BELOW ETL),0.7686397418758328,6.013645404663923,9.01869299207609,42,VotingRegressor
ABW(BELOW ETL),0.4154238405220785,0.7962482853223595,2.078173841567407,42,VotingRegressor
CLCV(%SPOT),0.7909343279896824,3.671954732510288,7.232308080988149,42,VotingRegressor
CLCV(%AREA),0.7317550382318367,4.171399176954732,8.52120157424183,42,VotingRegressor
WILT(%SPOT),0.276773390970241,0.6099485596707819,1.657747751109925,42,VotingRegressor
WILT(%AREA),0.20341361320305051,0.5260356652949246,1.6872732688205159,42,VotingRegressor
W. FLY(ABOVE ETL),0.7602518003140379,5.194756515775034,7.5639880073120125,77,VotingRegressor
JASSID(ABOVE ETL),0.5830090004405994,3.764098079561042,6.222456981351792,77,VotingRegressor
THRIPS(ABOVE ETL),0.4838742065762077,1.824259259259259,3.243548857451072,77,VotingRegressor
M.BUG(ABOVE ETL),0.8194823445043777,2.986800411522633,5.157417138763344,77,VotingRegressor
MITES(ABOVE ETL),-0.019577104371265586,0.01622085048010974,0.22312317364470224,77,VotingRegressor
APHIDS(ABOVE ETL),-0.23999663234769053,0.04826131687242799,0.3605022882906928,77,VotingRegressor
DUSKY COTTON BUG(ABOVE ETL),0.5935748430096783,0.9758916323731139,2.7902454769560197,77,VotingRegressor
W. FLY(BELOW ETL),0.7851509958621591,11.750706447187929,15.98210543393795,77,VotingRegressor
JASSID(BELOW ETL),0.8104386369546469,11.631121399176957,16.020865453204596,77,VotingRegressor
THRIPS(BELOW ETL),0.6692601332711512,18.060349794238682,21.813883555548614,77,VotingRegressor
MITES(BELOW ETL),0.3177307105396907,2.240373799725652,4.7488828265326966,77,VotingRegressor
APHIDS(BELOW ETL),0.5858227436460224,1.38082304526749,4.957403471269484,77,VotingRegressor
DUSKY COTTON BUG(BELOW ETL),0.7468564731451207,10.794200960219479,14.572944547739665,77,VotingRegressor
SBW(ABOVE ETL),0.18210431368630653,0.043209876543209874,0.2779629012756859,77,VotingRegressor
PBW(ABOVE ETL),0.7945258017186827,1.8096467764060358,3.5772760508183556,77,VotingRegressor
ABW(ABOVE ETL),-3.2512723277861406,0.3326474622770919,0.47029745716592525,77,VotingRegressor
Army Worm(ABOVE ETL),0.35105613609612984,1.834125514403292,2.782328697968501,77,VotingRegressor
SBW(BELOW ETL),0.4597559728835071,0.32094307270233197,1.1113439416548547,77,VotingRegressor
PBW(BELOW ETL),0.7684208541900366,5.907894375857338,8.949953034951992,77,VotingRegressor
ABW(BELOW ETL),0.4736799381614738,0.8364506172839505,1.7089151473363475,77,VotingRegressor
CLCV(%SPOT),0.7896244219943431,3.3536419753086424,6.45173035349307,77,VotingRegressor
CLCV(%AREA),0.7567122651755313,3.8433676268861454,7.271969305885022,77,VotingRegressor
WILT(%SPOT),0.42762264954628204,0.5305521262002744,1.855232257264589,77,VotingRegressor
WILT(%AREA),0.29129555646888305,0.5586248285322359,2.0856893098252534,77,VotingRegressor
W. FLY(ABOVE ETL),0.768890590223073,4.945089163237311,7.377507785480712,101,VotingRegressor
JASSID(ABOVE ETL),0.5505646970445754,3.7343895747599456,6.0220693741707345,101,VotingRegressor
THRIPS(ABOVE ETL),0.5121519018131934,1.945150891632373,3.1983185525813416,101,VotingRegressor
M.BUG(ABOVE ETL),0.8154538077748776,2.8969375857338826,5.237290805968538,101,VotingRegressor
MITES(ABOVE ETL),-0.05671335835971969,0.01601508916323731,0.2144073402301834,101,VotingRegressor
APHIDS(ABOVE ETL),-0.1257925620898641,0.026519204389574766,0.3082345520778782,101,VotingRegressor
DUSKY COTTON BUG(ABOVE ETL),0.4026543695370798,1.251834705075446,3.4004536683936206,101,VotingRegressor
W. FLY(BELOW ETL),0.7877479140993072,11.811831275720166,15.929008370948765,101,VotingRegressor
JASSID(BELOW ETL),0.8259997598282198,11.548148148148146,15.44859740327241,101,VotingRegressor
THRIPS(BELOW ETL),0.7305055210367151,14.60363854595336,19.67056571431696,101,VotingRegressor
MITES(BELOW ETL),0.249968287524719,2.5124759945130317,5.5596005151015255,101,VotingRegressor
APHIDS(BELOW ETL),0.5282214406310517,1.4182784636488344,5.034042832833105,101,VotingRegressor
DUSKY COTTON BUG(BELOW ETL),0.7577383226974546,10.133004115226338,13.936776382637534,101,VotingRegressor
SBW(ABOVE ETL),0.19741653914089863,0.040534979423868314,0.24989709816398809,101,VotingRegressor
PBW(ABOVE ETL),0.7844598935948948,1.8629698216735253,3.5835348493437182,101,VotingRegressor
ABW(ABOVE ETL),-0.23020436805994882,0.0686556927297668,0.26231009199445593,101,VotingRegressor
Army Worm(ABOVE ETL),0.4109304862736727,1.7398113854595336,2.8102243087153957,101,VotingRegressor
SBW(BELOW ETL),0.4685935157249689,0.2892009602194787,1.1216623251862,101,VotingRegressor
PBW(BELOW ETL),0.7578265920889878,5.968093278463648,9.06832016739794,101,VotingRegressor
ABW(BELOW ETL),0.15365834980682613,1.492520576131687,2.3162887085474266,101,VotingRegressor
CLCV(%SPOT),0.7864273566284959,3.498731138545953,6.862865992399212,101,VotingRegressor
CLCV(%AREA),0.6719493593682213,5.052002743484225,8.901398970674025,101,VotingRegressor
WILT(%SPOT),0.35892170908086973,0.53940329218107,2.0152701180819457,101,VotingRegressor
WILT(%AREA),0.26917436657704163,0.6102743484224965,2.1593606640314293,101,VotingRegressor
