Target,R² Score,MAE,RMSE,RandomState,Model
W. FLY(ABOVE ETL),0.8170826684657212,4.1594718680403036,7.153030015659985,0,XGBoost
JASSID(ABOVE ETL),0.6334149648996666,3.226752399961031,5.474311693681098,0,XGBoost
THRIPS(ABOVE ETL),0.6035318113137951,1.434499313027709,3.176998625735379,0,XGBoost
M.BUG(ABOVE ETL),0.8212359875877991,2.885768173203199,5.571733083230941,0,XGBoost
MITES(ABOVE ETL),-0.6959429409892297,0.023731138604719943,0.21969239011680283,0,XGBoost
APHIDS(ABOVE ETL),-0.5170473167558158,0.032897805099685984,0.3832630526331477,0,XGBoost
DUSKY COTTON BUG(ABOVE ETL),0.49303740703432963,0.8707201673700607,3.5087400839419227,0,XGBoost
W. FLY(BELOW ETL),0.8181938663894196,10.171015131398013,14.587555875985577,0,XGBoost
JASSID(BELOW ETL),0.8329049837250243,10.064965721362146,14.918448377960162,0,XGBoost
THRIPS(BELOW ETL),0.7581786835782199,12.719173530390274,18.610476033792565,0,XGBoost
MITES(BELOW ETL),0.28389692191540195,1.8213477354696013,5.110005630804461,0,XGBoost
APHIDS(BELOW ETL),0.565208139840095,1.2101234610356257,4.925859595869556,0,XGBoost
DUSKY COTTON BUG(BELOW ETL),0.7803769650371861,8.829283292299579,13.532349739592014,0,XGBoost
SBW(ABOVE ETL),-0.34665423505069093,0.05277777795254448,0.34943124452285756,0,XGBoost
PBW(ABOVE ETL),0.8042664178833436,1.7313134459440889,3.6941956067074386,0,XGBoost
ABW(ABOVE ETL),-0.951506427607635,0.04663923200276081,0.3166287607465311,0,XGBoost
Army Worm(ABOVE ETL),0.4560466210850864,1.407750341876708,2.8246837999456047,0,XGBoost
SBW(BELOW ETL),0.368949170540819,0.2559122088415592,1.0663811345395227,0,XGBoost
PBW(BELOW ETL),0.7839214494117455,5.360185201499811,8.652749275752775,0,XGBoost
ABW(BELOW ETL),0.325010152936828,0.615205763233174,1.8882250693967486,0,XGBoost
CLCV(%SPOT),0.8224320833341277,3.1362654364122324,6.309652160147595,0,XGBoost
CLCV(%AREA),0.7163085984680182,3.726941010510991,8.387943764150947,0,XGBoost
WILT(%SPOT),0.33976302018714,0.48624142786889085,1.9871300753856087,0,XGBoost
WILT(%AREA),0.289853560362894,0.4667661192468451,1.9880441247733975,0,XGBoost
W. FLY(ABOVE ETL),0.8194142453129971,4.032692045544278,6.749662540915893,21,XGBoost
JASSID(ABOVE ETL),0.6092565394093135,3.3658298949504832,5.703136881580726,21,XGBoost
THRIPS(ABOVE ETL),0.5790961103191063,1.4948868310866452,3.2678206558069007,21,XGBoost
M.BUG(ABOVE ETL),0.8509065679333498,2.5862619971468614,4.875044453182512,21,XGBoost
MITES(ABOVE ETL),-0.22164246538174281,0.019135802461470595,0.2192235949324359,21,XGBoost
APHIDS(ABOVE ETL),-0.12127010138241667,0.02626886152456654,0.32270079413468883,21,XGBoost
DUSKY COTTON BUG(ABOVE ETL),0.6764785282411672,0.7701577496551111,2.551471976343385,21,XGBoost
W. FLY(BELOW ETL),0.8247884385384047,10.218840897216964,14.474490923432809,21,XGBoost
JASSID(BELOW ETL),0.8512882048056857,9.536556955367143,14.116664875996394,21,XGBoost
THRIPS(BELOW ETL),0.7881987158335768,12.1443998724446,17.406911159309406,21,XGBoost
MITES(BELOW ETL),0.3219905195233582,1.8319890299616242,4.90748788692177,21,XGBoost
APHIDS(BELOW ETL),0.5266908666235961,1.1310871074050257,4.64075919197221,21,XGBoost
DUSKY COTTON BUG(BELOW ETL),0.7826767050226506,9.046131710817907,13.816620061865413,21,XGBoost
SBW(ABOVE ETL),0.23207934077034809,0.05281207143177057,0.3720056477317179,21,XGBoost
PBW(ABOVE ETL),0.8135568968568327,1.6885219488120211,3.4656050402206837,21,XGBoost
ABW(ABOVE ETL),-0.2504333564437735,0.04732510305287008,0.3942748718928815,21,XGBoost
Army Worm(ABOVE ETL),0.47914206767503575,1.3293209878980747,2.70592113008203,21,XGBoost
SBW(BELOW ETL),0.3979371873859199,0.25366598107769,1.1158072478126424,21,XGBoost
PBW(BELOW ETL),0.7647697534002541,5.512925247478367,8.946904180829819,21,XGBoost
ABW(BELOW ETL),0.4562467598304518,0.5385288083918178,1.686112252957974,21,XGBoost
CLCV(%SPOT),0.8311802744117314,3.1093552910829847,6.4988494153286736,21,XGBoost
CLCV(%AREA),0.7599823981428313,3.6930829854419938,8.197953486369604,21,XGBoost
WILT(%SPOT),0.31069900657017513,0.42844307387561953,1.8875693149288009,21,XGBoost
WILT(%AREA),0.19768648937364386,0.4344101520240388,2.0504004226591923,21,XGBoost
W. FLY(ABOVE ETL),0.8153227870660298,4.0089129078788845,7.03119618808287,42,XGBoost
JASSID(ABOVE ETL),0.6106332679793575,3.2993621418314416,5.691794324345951,42,XGBoost
THRIPS(ABOVE ETL),0.584102397552891,1.4785939640802204,3.2390864950538267,42,XGBoost
M.BUG(ABOVE ETL),0.8246716104519205,2.6855212596249967,5.3540867849435365,42,XGBoost
MITES(ABOVE ETL),-0.4501057261187591,0.020198902607332044,0.18637580159269238,42,XGBoost
APHIDS(ABOVE ETL),-0.25411959499294334,0.02425583004092974,0.29125626646304936,42,XGBoost
DUSKY COTTON BUG(ABOVE ETL),0.5361003020432098,0.8949417018769782,3.0375793466204652,42,XGBoost
W. FLY(BELOW ETL),0.805064819658263,10.40590532527631,15.30165986551163,42,XGBoost
JASSID(BELOW ETL),0.8331101103146656,10.0628189113636,15.023586953484534,42,XGBoost
THRIPS(BELOW ETL),0.7475291686436748,12.855572690349709,18.984341782448787,42,XGBoost
MITES(BELOW ETL),0.33481453576069453,1.8552400558799589,4.6853882013580375,42,XGBoost
APHIDS(BELOW ETL),0.4818161363704251,1.1498971207703583,4.767933929288173,42,XGBoost
DUSKY COTTON BUG(BELOW ETL),0.7741743504385385,8.842911542008832,14.009002101029973,42,XGBoost
SBW(ABOVE ETL),0.3146350720015586,0.04290123448358396,0.31879294640146366,42,XGBoost
PBW(ABOVE ETL),0.8183950948578973,1.6427880744598244,3.5095167474034255,42,XGBoost
ABW(ABOVE ETL),-0.025374896441055617,0.04104938281518605,0.4087477950039629,42,XGBoost
Army Worm(ABOVE ETL),0.4772015970546438,1.2984499323189218,2.569762116955804,42,XGBoost
SBW(BELOW ETL),0.3966657366372326,0.27176954774413414,1.2846721403111563,42,XGBoost
PBW(BELOW ETL),0.7974113205765389,5.169790827285892,8.439307470912025,42,XGBoost
ABW(BELOW ETL),0.48708599771322547,0.5815294937523713,1.946630849852039,42,XGBoost
CLCV(%SPOT),0.8225278560812879,3.0884499381020647,6.663473139004489,42,XGBoost
CLCV(%AREA),0.7633232843293928,3.6157338861724564,8.004105771944792,42,XGBoost
WILT(%SPOT),0.1596478251628668,0.4374108367218074,1.7869479944694804,42,XGBoost
WILT(%AREA),0.13436560769827233,0.4261728406304031,1.7588801086141062,42,XGBoost
