,R² Score,R² Score,MAE,MAE,RMSE,RMSE
,mean,std,mean,std,mean,std
Model,,,,,,
AdaBoost,-0.3079,2.8146,6.7409,8.5184,9.1366,9.4496
BaggingRegressor,0.5234,0.3163,2.9497,3.5078,5.5051,5.1344
DecisionTree,0.1767,0.5446,3.5473,4.2256,7.421,7.0353
KNN,0.3395,0.3162,3.92,4.7199,7.0708,6.6362
RandomForest,0.5273,0.3162,2.9345,3.4882,5.4764,5.1107
SVM,-0.1265,0.0851,7.4208,10.3692,12.1302,12.9045
StackingRegressor,0.5541,0.279,2.8746,3.4041,5.3317,4.9411
VotingRegressor,0.4413,0.498,3.8801,4.6974,5.9483,5.6755
XGBoost,0.4822,0.3835,3.0735,3.6125,5.536,5.1087
