N,P,K,temperature,humidity,ph,rainfall,label_encoded,district_encoded,pest,GDD
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,10,32,0,10.87974371
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,10,1,0,11.770461690000001
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,10,3,0,13.004459149999999
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,10,30,1,16.49109635
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,10,7,0,10.13017482
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,10,19,0,13.058048719999999
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,10,22,0,12.708837979999998
94,53,40,20.27774362,82.89408619,5.718627178,241.9741949,10,38,0,10.277743619999999
89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,10,16,0,14.51588066
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,10,20,0,13.223973860000001
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,10,24,1,16.52723513
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,10,29,0,13.978982169999998
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,10,33,1,16.80079604
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,10,28,0,14.014976220000001
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,10,15,1,15.665852050000002
60,48,39,24.28209415,80.30025587,7.042299069,231.0863347,10,18,0,14.282094149999999
85,38,41,21.58711777,82.7883708,6.249050656,276.6552459,10,26,0,11.587117769999999
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,10,35,0,13.79391957
77,38,36,21.8652524,80.1923008,5.953933276,224.5550169,10,11,0,11.8652524
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,10,9,0,13.579436260000001
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,10,27,0,11.32504158
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,10,36,1,15.15745531
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,10,10,0,11.94766735
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,10,10,0,11.052535500000001
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,10,10,0,13.483813439999999
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,10,4,1,15.0756354
97,59,43,26.35927159,84.04403589,6.286500176,271.3586137,10,14,1,16.35927159
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,10,8,0,14.52922681
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,10,2,0,10.775761469999999
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,10,23,0,12.30157427
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,10,36,0,11.44653958
92,35,40,22.17931888,80.33127223,6.357389366,200.0882787,10,10,0,12.17931888
85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,10,10,0,14.527837420000001
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,10,10,0,10.26707606
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,10,4,1,15.7354293
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,10,14,1,16.79533926
99,57,35,26.75754171,81.17734011,5.960370061,272.2999056,10,8,1,16.75754171
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,10,2,0,13.863304670000002
60,43,44,21.01944696,82.95221726,7.416245107,298.4018471,10,23,0,11.01944696
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,10,30,0,14.17298839
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,10,7,0,12.78133816
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,10,19,1,15.629801050000001
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,10,22,1,15.597049380000001
82,40,40,23.83067496,84.81360127,6.271478838,298.5601175,10,38,0,13.83067496
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,10,16,1,16.31355498
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,10,20,0,14.8972823
76,49,42,24.958779,84.47963372,5.206373153,196.9560008,10,24,0,14.958779
74,39,38,23.24113501,84.59201843,7.782051313,233.0453455,10,29,0,13.24113501
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,10,33,0,11.66628296
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,10,10,0,14.635448579999998
60,36,43,23.43121862,83.06310136,5.286203711,219.9048349,10,23,0,13.43121862
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,10,2,0,10.0454142
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,10,37,0,13.857240319999999
65,60,43,21.97199397,81.89918197,5.658169482,227.3637009,10,8,0,11.97199397
95,52,36,26.22916897,83.83625819,5.543360238,286.5083725,10,14,1,16.22916897
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,10,27,0,13.44676801
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,10,24,1,15.65553461
91,36,45,24.44345477,82.45432595,5.950647577,267.9761948,10,16,0,14.443454769999999
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,10,20,0,10.280193700000002
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,10,14,0,11.7238313
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,10,14,0,10.41447029
83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,10,14,1,15.755286120000001
93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,10,14,0,10.61521424
70,36,42,21.84106875,80.72886384,6.946209881,202.3838319,10,2,0,11.841068750000002
76,47,42,20.08369642,83.29114712,5.739175027,263.6372176,10,2,0,10.083696419999999
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,10,2,0,14.458020869999999
99,54,37,21.14347496,80.33502926,5.594819626,198.6730942,10,10,0,11.143474959999999
86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,10,10,1,15.787205669999999
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,10,10,0,13.64124821
91,56,37,23.43191632,80.56887849,6.363472208,269.5039162,10,32,0,13.43191632
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,10,1,0,14.97669518
67,45,38,22.72791041,82.1706881,7.300410836,260.8875056,10,3,0,12.72791041
79,42,37,24.87300744,82.84022551,6.587918708,295.6094492,10,30,0,14.873007439999999
78,43,42,21.32376327,83.00320459,7.283736617,192.3197536,10,7,0,11.32376327
75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,10,19,1,16.29465461
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,10,22,0,12.2286982
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,10,38,1,16.73072391
73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,10,16,0,14.88921174
77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,10,20,1,16.88444878
81,41,38,22.67846116,83.72874389,7.524080076,200.9133156,10,24,0,12.678461160000001
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,10,29,1,16.08867875
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,10,33,1,15.42977518
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,10,28,1,16.40323239
67,43,39,26.04371967,84.96907151,5.999969026,186.7536773,10,15,1,16.04371967
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,10,18,1,15.2827223
66,60,38,22.08576562,83.47038318,6.372576327,231.7364957,10,26,0,12.08576562
82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,10,35,0,13.28617173
84,50,44,25.48591986,81.40633547,5.935344406,182.6549356,10,11,1,15.48591986
81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,10,9,0,13.675753929999999
91,50,40,20.82477109,84.1341879,6.462391607,230.2242223,10,27,0,10.824771089999999
93,53,38,26.92995077,81.91411159,7.069172227,290.6793783,10,36,1,16.92995077
90,44,38,23.83509503,83.88387074,7.473134377,241.2013513,10,10,0,13.835095030000002
81,45,35,26.52872817,80.12267476,6.158376967,218.9163567,10,10,1,16.52872817
78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,10,10,1,16.46428311
60,51,36,22.69657794,82.81088865,6.028321558,256.9964761,10,4,0,12.696577940000001
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,10,14,0,12.683190589999999
93,47,37,21.53346343,82.14004101,6.500343222,295.9248796,10,8,0,11.533463430000001
60,55,45,21.40865769,83.3293191,5.935745417,287.5766935,10,2,0,11.408657689999998
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,10,23,1,16.54348085
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,10,36,0,13.359054279999999
71,54,16,22.61359953,63.69070564,5.749914421,87.75953857,5,0,0,12.613599529999998
61,44,17,26.10018422,71.57476937,6.931756558,102.2662445,5,31,0,16.10018422
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,5,12,0,13.55882094
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,5,13,0,9.97215954
61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,5,5,0,8.478912609999998
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,5,34,0,11.776893220000002
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,5,17,0,15.6217169
89,60,19,25.19192419,66.6902901,5.913664501,78.06639649,5,23,0,15.191924190000002
76,44,17,20.41683147,62.5542482,5.855442401,65.27798457,5,2,0,10.416831470000002
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,5,8,0,14.921621940000001
70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,5,37,0,13.31689124
90,49,21,24.84016732,68.3584573,6.472523287,74.05474936,5,14,0,14.840167319999999
62,52,16,22.27526694,58.84015925,6.967057762,63.87020584,5,10,0,12.275266940000002
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,5,21,0,8.87751445
66,54,21,25.19008683,60.2001687,5.919045532,72.12375573,5,36,0,15.190086829999998
63,58,22,18.25405352,55.28220433,6.204747653,63.72358154,5,27,0,8.25405352
70,47,17,24.6129118,70.4162444,6.600827017,104.1626147,5,9,0,14.6129118
61,41,17,25.1420613,65.26185135,6.021902237,76.68456006,5,11,0,15.142061300000002
66,53,19,23.09348056,60.1159381,6.033550195,65.49730729,5,35,0,13.09348056
74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,5,26,0,8.050337370000001
77,57,21,24.9321581,73.80435276,6.550563823,79.74078719,5,18,0,14.932158099999999
99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,5,15,0,8.14710054
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,5,28,0,8.283622350000002
83,45,21,18.83344471,58.75082029,5.716222912,79.7532896,5,33,0,8.833444709999998
100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,5,29,0,15.71895816
79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,5,24,0,15.337977089999999
94,39,18,23.89114571,57.48775781,5.893093135,102.8301942,5,20,0,13.89114571
75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,5,16,0,11.535741269999999
78,48,22,23.08974909,63.10459626,5.588650585,70.43473609,5,38,0,13.089749090000002
87,54,20,25.61707368,63.4711755,6.576418207,108.8303762,5,25,0,15.61707368
87,35,25,21.44526922,63.1621551,6.178056304,65.88951188,5,19,0,11.44526922
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,5,6,0,8.51816776
84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,5,30,0,12.535105139999999
64,35,23,23.02038334,61.89472002,5.680361038,63.03843397,5,1,0,13.020383339999999
60,46,22,24.89364635,65.61418761,6.625404348,87.9298085,5,32,0,14.893646350000001
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,5,1,0,15.77175115
75,56,18,19.39851734,62.35750641,5.696205468,60.95197486,5,10,0,9.398517340000001
86,55,21,21.54156232,59.64024162,6.803931519,109.7515385,5,21,0,11.54156232
98,35,18,23.79746068,74.82913698,6.252797548,91.76337172,5,36,0,13.79746068
76,57,18,18.9802729,74.52600826,6.092725883,94.26249353,5,27,0,8.9802729
99,56,17,24.10859207,73.13112261,6.234330356,71.07562236,5,9,0,14.10859207
60,44,23,24.7947077,70.04556743,5.722579819,76.72860067,5,11,0,14.7947077
74,48,17,21.63162756,60.27766379,6.430616465,69.21803098,5,35,0,11.631627559999998
89,60,17,25.37548751,57.21025565,5.983952675,101.7004306,5,26,0,15.37548751
69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,5,18,0,12.217382220000001
96,46,22,20.58314011,69.00128641,6.499936446,66.29390357,5,15,0,10.583140109999999
61,60,15,24.87502824,68.74248334,6.265564338,91.26056654,5,28,0,14.875028239999999
74,58,18,20.03728219,56.35606753,6.727303282,109.024141,5,33,0,10.037282189999999
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,5,29,0,15.952632640000001
63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,5,24,0,9.28889933
99,36,20,20.57981887,65.34583901,6.671085817,78.34604471,5,20,0,10.57981887
77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,5,16,0,14.71417533
87,60,23,20.27317074,63.91281869,6.439071996,62.50351892,5,38,0,10.273170740000001
60,38,17,18.41932981,64.23580251,6.474476516,76.41312437,5,25,0,8.41932981
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,5,19,0,13.39128187
95,38,22,19.84939404,61.24500053,5.730617109,100.7689246,5,6,0,9.84939404
84,44,21,21.869274,61.91044947,5.850439831,107.2681929,5,30,0,11.869274
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,5,1,0,12.805603300000001
66,44,20,19.0781471,69.02298571,6.740000688,80.72515943,5,32,0,9.078147099999999
63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,5,1,0,12.027209760000002
79,45,20,23.80546189,59.24537979,5.715208817,89.9622014,5,0,0,13.80546189
72,60,25,18.52510753,69.0276233,5.773454729,88.10234397,5,31,0,8.52510753
67,51,24,23.50297882,61.32026065,5.584171461,64.77791424,5,12,0,13.50297882
86,36,24,26.54986394,72.89187265,5.787268394,73.33636055,5,13,0,16.54986394
76,48,18,19.29563411,69.63481219,5.77597783,83.21030571,5,5,0,9.295634110000002
75,53,18,20.68899915,59.4375337,6.864793607,103.651438,5,34,0,10.68899915
81,45,23,19.32666088,68.034493,6.192360003,84.22969177,5,17,0,9.326660879999999
